gate: 5
check: G05-C2
captured_utc: 2026-09-14T10:24:14Z
repo_commit: 9f50972a8ce6cda6fc53bb2439ce8669d1a98282
plan_commit: 4ebc8def34df78a0bc6b29e42656986ef987f4c9
plan_sha256: 42eaac5e61d177430ce8e331767d2137b3f9b2bd197e13945b84f7c5e8cd79c7
target_identity: kube-system namespace UID d7d8a462-c503-49ed-a1e0-899f372f9465; API server https://10.2.0.100:6443 (private VIP); hosts veridex-server-1/2/3 (control-plane,etcd)
captured_by: agent
command: ssh root@veridex-agent-2 -- backgrounded shell loop: every ~0.3s, TCP-connect probe of 10.2.0.100:6443 via /dev/tcp, timestamped OK/FAIL, for 10 minutes bracketing the drill
exit_status: 0
proof_class: live
result: PASS
limitations: TCP-connect only (not a full authenticated API call) -- sufficient to measure VIP reachability/interruption timing, run from a worker node (a realistic client position, and unaffected by the etcd voter that goes down). 1639 samples captured; full log is the same file cited by C4.
--- unedited output ---
2026-09-14T10:16:05.275Z OK
2026-09-14T10:16:05.585Z OK
2026-09-14T10:16:05.894Z OK
2026-09-14T10:16:06.201Z OK
2026-09-14T10:16:06.510Z OK
2026-09-14T10:16:06.818Z OK
2026-09-14T10:16:07.128Z OK
2026-09-14T10:16:07.438Z OK
2026-09-14T10:16:07.748Z OK
2026-09-14T10:16:08.055Z OK
2026-09-14T10:16:08.364Z OK
2026-09-14T10:16:08.673Z OK
2026-09-14T10:16:08.982Z OK
2026-09-14T10:16:09.292Z OK
2026-09-14T10:16:09.602Z OK
2026-09-14T10:16:09.911Z OK
2026-09-14T10:16:10.220Z OK
2026-09-14T10:16:10.529Z OK
2026-09-14T10:16:10.838Z OK
2026-09-14T10:16:11.147Z OK
2026-09-14T10:16:11.456Z OK
2026-09-14T10:16:11.764Z OK
2026-09-14T10:16:12.073Z OK
2026-09-14T10:16:12.383Z OK
2026-09-14T10:16:12.693Z OK
2026-09-14T10:16:13.002Z OK
2026-09-14T10:16:13.312Z OK
2026-09-14T10:16:13.621Z OK
2026-09-14T10:16:13.931Z OK
2026-09-14T10:16:14.240Z OK
2026-09-14T10:16:14.550Z OK
2026-09-14T10:16:14.860Z OK
2026-09-14T10:16:15.170Z OK
2026-09-14T10:16:15.478Z OK
2026-09-14T10:16:15.787Z OK
2026-09-14T10:16:16.097Z OK
2026-09-14T10:16:16.405Z OK
2026-09-14T10:16:16.713Z OK
2026-09-14T10:16:17.021Z OK
2026-09-14T10:16:17.327Z OK
2026-09-14T10:16:17.634Z OK
2026-09-14T10:16:17.941Z OK
2026-09-14T10:16:18.248Z OK
2026-09-14T10:16:18.554Z OK
2026-09-14T10:16:18.861Z OK
2026-09-14T10:16:19.168Z OK
2026-09-14T10:16:19.475Z OK
2026-09-14T10:16:19.783Z OK
2026-09-14T10:16:20.091Z OK
